iter	Logloss
0	0.6700902733
1	0.6492579119
2	0.6308190015
3	0.6136530014
4	0.5982693312
5	0.5841518544
6	0.5714606067
7	0.5596883586
8	0.5489073159
9	0.5392134123
10	0.5305962805
11	0.5226934679
12	0.515685343
13	0.5091508268
14	0.5031297093
15	0.4976751409
16	0.4926436226
17	0.4880375637
18	0.4838276146
19	0.4799258361
20	0.4763924605
21	0.4729757167
22	0.4698377209
23	0.4670258924
24	0.4643658494
25	0.4619262933
26	0.4596115094
27	0.4574954557
28	0.4555224265
29	0.4536217127
30	0.4519100919
31	0.4503226227
32	0.4488008251
33	0.4474102609
34	0.4460198428
35	0.4447317467
36	0.4435780234
37	0.442480152
38	0.4414382784
39	0.4404632809
40	0.4395486254
41	0.4386624798
42	0.4378636163
43	0.4370673082
44	0.4363179812
45	0.435602786
46	0.4349203352
47	0.4342809597
48	0.4336818486
49	0.4331071225
50	0.4325720768
51	0.432062
52	0.431586128
53	0.4311223024
54	0.4307054215
55	0.4303180363
56	0.4299496699
57	0.4295511142
58	0.429192531
59	0.4288703792
60	0.4285617705
61	0.4282733489
62	0.4279846716
63	0.4277134801
64	0.4274635341
65	0.4272073823
66	0.4269528368
67	0.4266709859
68	0.4264563397
69	0.4262380431
70	0.4260374876
71	0.4258037496
72	0.4256049098
73	0.4254211099
74	0.4252601983
75	0.4250826406
76	0.42488475
77	0.4247309567
78	0.4245414256
79	0.4243440825
80	0.4242073368
81	0.4240804473
82	0.4239118698
83	0.4237952015
84	0.4236653187
85	0.423553323
86	0.423409313
87	0.4232828615
88	0.4231342519
89	0.4230133127
90	0.4229080338
91	0.4228084497
92	0.4227183932
93	0.4226309285
94	0.422536309
95	0.4224477857
96	0.4223432369
97	0.4222552247
98	0.4221657523
99	0.4220684679
100	0.4219750165
101	0.4218935021
102	0.4218201646
103	0.4217474477
104	0.4216681236
105	0.4215840538
106	0.4215013347
107	0.4214275227
108	0.4213426133
109	0.4212723058
110	0.4212187537
111	0.4211305955
112	0.4210642669
113	0.4210087436
114	0.4209206219
115	0.4208540012
116	0.4207892423
117	0.4207230963
118	0.4206624989
119	0.4205975575
120	0.4205553948
121	0.4204967322
122	0.4204449323
123	0.4203783847
124	0.4203226424
125	0.420274347
126	0.42022868
127	0.4201793624
128	0.4201279642
129	0.4200825526
130	0.4200451721
131	0.4200139243
132	0.4199656654
133	0.4199099231
134	0.4198710823
135	0.4198415137
136	0.4197945325
137	0.4197434628
138	0.4197120324
139	0.4196639561
140	0.4196121197
141	0.4195617436
142	0.4195062933
143	0.4194590566
144	0.4194266041
145	0.4193903187
146	0.4193530476
147	0.419315156
148	0.4192816084
149	0.4192486449
150	0.4192104612
151	0.4191806371
152	0.4191506304
153	0.4191212444
154	0.4190862366
155	0.4190566315
156	0.4190334877
157	0.4190056348
158	0.4189722332
159	0.418942409
160	0.4189124389
161	0.4188817751
162	0.418855857
163	0.4188273835
164	0.4187913536
165	0.4187542286
166	0.4187261567
167	0.4186985593
168	0.418647234
169	0.4186085028
170	0.4185811975
171	0.4185490371
172	0.418528193
173	0.4184972737
174	0.4184681797
175	0.4184402903
176	0.4184132405
177	0.4183905347
178	0.4183616597
179	0.418335121
180	0.4183040557
181	0.4182732094
182	0.4182419981
183	0.418204654
184	0.4181846861
185	0.4181655578
186	0.4181388365
187	0.4181054349
188	0.4180928044
189	0.4180642579
190	0.418032426
191	0.4180206351
192	0.4180030034
193	0.4179886572
194	0.4179680687
195	0.4179510211
196	0.4179238253
