iter	Passed	Remaining
0	34	34855
1	68	33948
2	104	34580
3	131	32851
4	160	31994
5	187	31096
6	214	30416
7	238	29585
8	274	30265
9	298	29518
10	322	28998
11	347	28639
12	375	28539
13	400	28233
14	426	27975
15	454	27967
16	485	28050
17	512	27970
18	540	27881
19	569	27902
20	597	27858
21	629	27985
22	656	27882
23	685	27868
24	715	27889
25	741	27785
26	770	27783
27	802	27866
28	832	27890
29	859	27783
30	888	27777
31	924	27981
32	969	28411
33	1009	28675
34	1040	28699
35	1075	28809
36	1109	28875
37	1144	28978
38	1180	29081
39	1221	29304
40	1257	29423
41	1288	29388
42	1340	29834
43	1375	29894
44	1415	30041
45	1451	30102
46	1477	29967
47	1502	29791
48	1528	29674
49	1554	29541
50	1580	29412
51	1607	29297
52	1633	29192
53	1660	29086
54	1687	28987
55	1712	28867
56	1739	28784
57	1766	28696
58	1790	28561
59	1815	28443
60	1838	28302
61	1864	28206
62	1888	28085
63	1912	27966
64	1935	27848
65	1961	27759
66	1986	27669
67	2013	27599
68	2036	27473
69	2063	27420
70	2087	27314
71	2112	27226
72	2136	27135
73	2163	27078
74	2189	27005
75	2214	26922
76	2239	26848
77	2268	26818
78	2298	26791
79	2324	26737
80	2352	26695
81	2376	26608
82	2401	26532
83	2423	26430
84	2450	26379
85	2476	26321
86	2500	26245
87	2530	26221
88	2554	26150
89	2579	26082
90	2605	26027
91	2635	26007
92	2659	25934
93	2682	25854
94	2712	25841
95	2732	25729
96	2756	25662
97	2780	25588
98	2804	25525
99	2825	25432
100	2856	25427
101	2893	25473
102	2914	25383
103	2940	25330
104	2961	25245
105	2989	25211
106	3018	25188
107	3042	25132
108	3072	25115
109	3096	25055
110	3120	24993
111	3147	24952
112	3173	24907
113	3201	24883
114	3235	24898
115	3263	24869
116	3296	24875
117	3331	24899
118	3356	24851
119	3382	24804
120	3407	24750
121	3432	24700
122	3459	24663
123	3487	24634
124	3509	24563
125	3532	24503
126	3556	24445
127	3580	24392
128	3603	24332
129	3646	24405
130	3671	24352
131	3696	24307
132	3719	24246
133	3743	24192
134	3766	24134
135	3786	24058
136	3811	24012
137	3833	23943
138	3858	23898
139	3882	23850
140	3906	23797
141	3931	23754
142	3957	23714
143	3986	23697
144	4031	23770
145	4057	23735
146	4081	23685
147	4106	23639
148	4131	23593
149	4152	23532
150	4175	23476
151	4199	23430
152	4224	23388
153	4247	23331
154	4268	23271
155	4307	23303
156	4333	23267
157	4356	23216
158	4384	23189
159	4413	23168
160	4437	23125
161	4460	23074
162	4486	23035
163	4519	23039
164	4566	23107
165	4596	23091
166	4619	23043
167	4641	22987
168	4663	22930
169	4699	22942
170	4723	22897
171	4747	22856
172	4774	22823
173	4807	22820
174	4831	22775
175	4858	22746
176	4882	22703
177	4911	22682
178	4952	22713
179	4993	22746
180	5029	22758
181	5060	22745
182	5087	22711
183	5107	22649
184	5125	22579
185	5148	22530
186	5174	22494
187	5197	22446
188	5221	22404
189	5245	22363
190	5267	22309
191	5290	22263
192	5317	22234
193	5340	22188
194	5368	22161
195	5394	22127
196	5414	22070
197	5446	22062
198	5485	22078
199	5522	22088
200	5555	22085
201	5587	22073
202	5618	22057
203	5647	22034
204	5679	22024
205	5710	22009
206	5741	21997
207	5762	21940
208	5788	21908
209	5809	21854
210	5834	21818
211	5858	21774
212	5881	21732
213	5902	21678
214	5926	21640
215	5955	21618
216	5983	21591
217	6010	21561
218	6035	21522
219	6062	21495
220	6080	21431
221	6099	21374
222	6123	21337
223	6149	21304
224	6173	21265
225	6201	21238
226	6228	21209
227	6258	21189
228	6283	21155
229	6316	21147
230	6345	21124
231	6380	21122
232	6412	21109
233	6439	21079
234	6464	21044
235	6494	21024
236	6520	20991
237	6550	20972
238	6579	20948
239	6608	20926
240	6632	20888
241	6654	20844
242	6678	20803
243	6702	20766
244	6731	20745
245	6756	20708
246	6781	20673
247	6806	20639
248	6832	20607
249	6864	20592
250	6888	20555
251	6910	20512
252	6936	20481
253	6971	20473
254	7013	20490
255	7046	20480
256	7081	20473
257	7115	20463
258	7144	20439
259	7181	20438
260	7224	20454
261	7254	20435
262	7286	20419
263	7314	20392
264	7347	20379
265	7376	20354
266	7398	20311
267	7426	20283
268	7449	20245
269	7475	20212
270	7502	20181
271	7526	20143
272	7547	20097
273	7566	20049
274	7593	20019
275	7625	20004
276	7649	19966
277	7681	19949
278	7707	19919
279	7729	19877
280	7758	19851
281	7789	19832
282	7816	19804
283	7848	19786
284	7881	19773
285	7915	19760
286	7936	19716
287	7961	19683
288	7991	19660
289	8016	19626
290	8048	19610
291	8086	19606
292	8123	19600
293	8155	19584
294	8184	19560
295	8216	19542
296	8249	19527
297	8286	19521
298	8322	19510
299	8354	19494
300	8402	19513
301	8430	19484
302	8459	19460
303	8497	19455
304	8526	19429
305	8558	19409
306	8588	19387
307	8619	19366
308	8656	19357
309	8691	19345
310	8742	19368
311	8770	19339
312	8801	19319
313	8844	19321
314	8884	19320
315	8918	19304
316	8947	19277
317	8977	19253
318	9012	19240
319	9049	19229
320	9081	19210
321	9113	19188
322	9142	19162
323	9171	19136
324	9204	19116
325	9231	19085
326	9261	19062
327	9299	19052
328	9331	19030
329	9374	19032
330	9409	19017
331	9444	19003
332	9485	18998
333	9513	18969
334	9535	18928
335	9552	18878
336	9580	18847
337	9609	18821
338	9634	18785
339	9656	18744
340	9685	18717
341	9711	18684
342	9737	18651
343	9764	18620
344	9789	18585
345	9815	18552
346	9838	18514
347	9865	18484
348	9894	18455
349	9922	18427
350	9947	18393
351	9982	18377
352	10010	18347
353	10046	18333
354	10081	18317
355	10113	18295
356	10149	18280
357	10178	18253
358	10206	18224
359	10243	18210
360	10278	18194
361	10312	18175
362	10343	18150
363	10377	18132
364	10406	18104
365	10435	18076
366	10466	18053
367	10495	18025
368	10518	17987
369	10547	17958
370	10572	17924
371	10600	17894
372	10625	17861
373	10652	17829
374	10677	17795
375	10701	17760
376	10729	17730
377	10758	17702
378	10781	17666
379	10810	17638
380	10835	17604
381	10863	17575
382	10887	17538
383	10910	17502
384	10934	17466
385	10954	17424
386	10978	17389
387	11010	17366
388	11044	17348
389	11087	17342
390	11116	17313
391	11153	17299
392	11191	17286
393	11223	17261
394	11254	17237
395	11287	17216
396	11320	17193
397	11353	17173
398	11388	17154
399	11425	17138
400	11456	17113
401	11496	17101
402	11521	17067
403	11545	17033
404	11573	17003
405	11606	16980
406	11637	16955
407	11679	16946
408	11707	16916
409	11733	16884
410	11762	16856
411	11790	16827
412	11823	16805
413	11853	16777
414	11888	16758
415	11916	16728
416	11959	16720
417	11992	16697
418	12031	16683
419	12063	16658
420	12096	16636
421	12120	16601
422	12149	16572
423	12183	16551
424	12217	16529
425	12246	16501
426	12275	16472
427	12308	16449
428	12341	16426
429	12383	16415
430	12414	16388
431	12445	16363
432	12480	16342
433	12516	16323
434	12547	16297
435	12575	16266
436	12600	16233
437	12626	16201
438	12655	16172
439	12685	16144
440	12714	16116
441	12743	16087
442	12764	16049
443	12794	16022
444	12830	16001
445	12862	15976
446	12895	15953
447	12932	15934
448	12963	15907
449	12989	15876
450	13014	15842
451	13038	15807
452	13058	15768
453	13087	15739
454	13117	15712
455	13147	15684
456	13183	15663
457	13210	15633
458	13237	15601
459	13262	15568
460	13287	15535
461	13310	15500
462	13334	15465
463	13357	15430
464	13391	15407
465	13423	15382
466	13463	15366
467	13487	15331
468	13515	15302
469	13542	15270
470	13568	15239
471	13595	15208
472	13618	15173
473	13642	15138
474	13674	15113
475	13705	15087
476	13734	15059
477	13760	15027
478	13785	14994
479	13813	14965
480	13836	14929
481	13859	14894
482	13886	14863
483	13906	14825
484	13929	14791
485	13950	14754
486	13978	14724
487	14006	14695
488	14039	14671
489	14071	14645
490	14099	14616
491	14123	14582
492	14149	14551
493	14178	14523
494	14210	14498
495	14233	14463
496	14256	14428
497	14276	14390
498	14300	14357
499	14323	14323
500	14349	14292
501	14377	14263
502	14401	14229
503	14421	14192
504	14455	14169
505	14485	14141
506	14518	14117
507	14558	14100
508	14583	14068
509	14617	14044
510	14644	14013
511	14672	13985
512	14697	13952
513	14721	13919
514	14749	13890
515	14770	13854
516	14793	13820
517	14819	13789
518	14841	13754
519	14865	13721
520	14890	13690
521	14916	13659
522	14939	13625
523	14965	13594
524	14994	13566
525	15021	13536
526	15048	13506
527	15068	13470
528	15097	13441
529	15124	13412
530	15151	13382
531	15181	13355
532	15203	13321
533	15228	13289
534	15257	13261
535	15283	13230
536	15309	13199
537	15333	13167
538	15357	13134
539	15381	13102
540	15399	13065
541	15428	13037
542	15452	13005
543	15478	12975
544	15505	12945
545	15526	12910
546	15549	12877
547	15578	12849
548	15607	12821
549	15632	12789
550	15656	12758
551	15680	12726
552	15703	12693
553	15727	12661
554	15754	12631
555	15783	12604
556	15809	12573
557	15839	12546
558	15862	12513
559	15888	12483
560	15923	12460
561	15954	12434
562	15987	12409
563	16024	12387
564	16057	12362
565	16091	12338
566	16128	12317
567	16164	12293
568	16210	12278
569	16243	12254
570	16273	12226
571	16313	12206
572	16345	12180
573	16371	12150
574	16397	12119
575	16444	12105
576	16476	12079
577	16529	12068
578	16570	12048
579	16618	12033
580	16640	12000
581	16667	11970
582	16689	11937
583	16715	11906
584	16738	11874
585	16761	11842
586	16789	11812
587	16811	11779
588	16834	11747
589	16867	11721
590	16892	11690
591	16917	11659
592	16940	11626
593	16966	11596
594	16994	11567
595	17016	11534
596	17055	11512
597	17076	11479
598	17102	11449
599	17134	11422
600	17158	11391
601	17180	11358
602	17203	11326
603	17227	11295
604	17252	11263
